E193  (10.22%)               
0.987688 -0.156434
0.984420 -0.155400
0.974936 -0.152187
0.959941 -0.146755
0.939989 -0.139443
0.915351 -0.130651
0.886193 -0.120545
0.852870 -0.109183
0.815882 -0.096672
0.775759 -0.083240
0.733056 -0.069096
0.688334 -0.054531
0.642195 -0.039832
0.595233 -0.025347
0.548008 -0.011499
0.500935 0.001201
0.454266 0.012420
0.408246 0.021926
0.363131 0.029598
0.319145 0.035390
0.276523 0.039367
0.235628 0.041723
0.196894 0.042573
0.160731 0.042013
0.127527 0.040124
0.097602 0.037017
0.071258 0.032797
0.048748 0.027604
0.030276 0.021630
0.015998 0.015093
0.006027 0.008330
0.000557 0.001856
0.000691 -0.003886
0.006780 -0.009548
0.018233 -0.015544
0.034962 -0.021595
0.056868 -0.027626
0.083785 -0.033601
0.115499 -0.039525
0.151737 -0.045396
0.192124 -0.051276
0.236231 -0.057199
0.283585 -0.063201
0.333615 -0.069312
0.385729 -0.075562
0.439307 -0.081962
0.493684 -0.088499
0.548164 -0.095153
0.602065 -0.101878
0.654711 -0.108606
0.705442 -0.115275
0.753618 -0.121781
0.798623 -0.128038
0.839888 -0.133936
0.876874 -0.139369
0.909119 -0.144173
0.936285 -0.148192
0.958139 -0.151420
0.974309 -0.153971
0.984303 -0.155756
