E193  (10.22%)               
0.984808 -0.173648
0.981558 -0.172557
0.972131 -0.169179
0.957234 -0.163486
0.937412 -0.155827
0.912932 -0.146606
0.883954 -0.135993
0.850835 -0.124051
0.814071 -0.110897
0.774188 -0.096766
0.731739 -0.081879
0.687278 -0.066535
0.641402 -0.051034
0.594700 -0.035731
0.547724 -0.021061
0.500880 -0.007541
0.454413 0.004490
0.408567 0.014798
0.363592 0.023256
0.319715 0.029815
0.277168 0.034535
0.236320 0.037605
0.197607 0.039130
0.161440 0.039202
0.128208 0.037893
0.098234 0.035308
0.071819 0.031548
0.049223 0.026749
0.030649 0.021098
0.016259 0.014812
0.006172 0.008223
0.000589 0.001846
0.000623 -0.003897
0.006612 -0.009665
0.017959 -0.015859
0.034580 -0.022202
0.056378 -0.028615
0.083186 -0.035058
0.114792 -0.041534
0.150921 -0.048037
0.191200 -0.054621
0.235196 -0.061313
0.282438 -0.068140
0.332354 -0.075124
0.384351 -0.082282
0.437810 -0.089616
0.492064 -0.097101
0.546419 -0.104705
0.600195 -0.112370
0.652716 -0.120016
0.703323 -0.127569
0.751377 -0.134915
0.796267 -0.141957
0.837423 -0.148574
0.874308 -0.154651
0.906465 -0.160017
0.933556 -0.164510
0.955350 -0.168119
0.971473 -0.170952
0.981434 -0.172911
