  S4180-098-84
0.997564 -0.069756
0.994437 -0.069177
0.985163 -0.067326
0.969974 -0.064058
0.949233 -0.059340
0.923357 -0.053220
0.892821 -0.045782
0.858108 -0.037159
0.819776 -0.027542
0.778379 -0.017159
0.734481 -0.006280
0.688611 0.004777
0.641248 0.015717
0.592890 0.026316
0.544040 0.036338
0.495202 0.045527
0.446862 0.053669
0.399458 0.060563
0.353435 0.065996
0.309160 0.069774
0.266904 0.071726
0.226825 0.071863
0.189182 0.070264
0.154207 0.067107
0.122223 0.062577
0.093532 0.056834
0.068407 0.050030
0.047049 0.042351
0.029692 0.033972
0.016441 0.024964
0.007176 0.015597
0.001735 0.006324
0.000020 -0.002006
0.003193 -0.008383
0.012167 -0.013221
0.026660 -0.017131
0.046629 -0.019991
0.072159 -0.021887
0.103170 -0.023093
0.139330 -0.023937
0.180120 -0.024635
0.225022 -0.025318
0.273446 -0.026098
0.324765 -0.027040
0.378322 -0.028229
0.433444 -0.029698
0.489426 -0.031477
0.545577 -0.033579
0.601163 -0.036003
0.655505 -0.038730
0.707903 -0.041732
0.757700 -0.044954
0.804236 -0.048348
0.846937 -0.051846
0.885234 -0.055366
0.918615 -0.058813
0.946613 -0.062114
0.968758 -0.065106
0.984727 -0.067546
0.994356 -0.069181
