E193  (10.22%)               
0.974370 -0.224951
0.971182 -0.223692
0.961945 -0.219825
0.947366 -0.213359
0.927972 -0.204674
0.904008 -0.194184
0.875626 -0.182069
0.843177 -0.168410
0.807151 -0.153350
0.768063 -0.137152
0.726451 -0.120063
0.682853 -0.102413
0.637853 -0.084532
0.592015 -0.066807
0.545871 -0.049698
0.499799 -0.033745
0.454026 -0.019298
0.408781 -0.006605
0.364311 0.004195
0.320837 0.013042
0.278595 0.019982
0.237964 0.025185
0.199384 0.028735
0.163270 0.030699
0.130015 0.031131
0.099947 0.030119
0.073372 0.027746
0.050555 0.024136
0.031712 0.019465
0.017012 0.013940
0.006594 0.007889
0.000685 0.001812
0.000418 -0.003925
0.006097 -0.009998
0.017104 -0.016778
0.033371 -0.023981
0.054803 -0.031526
0.081237 -0.039363
0.112461 -0.047485
0.148200 -0.055870
0.188079 -0.064553
0.231665 -0.073538
0.278485 -0.082828
0.327967 -0.092415
0.379518 -0.102285
0.432519 -0.112407
0.486308 -0.122721
0.540191 -0.133159
0.593492 -0.143628
0.645540 -0.154012
0.695683 -0.164203
0.743287 -0.174054
0.787746 -0.183436
0.828499 -0.192198
0.865016 -0.200197
0.896848 -0.207238
0.923667 -0.213143
0.945242 -0.217888
0.961195 -0.221560
0.971040 -0.224039
