E193  (10.22%)               
0.981627 -0.190809
0.978397 -0.189662
0.969031 -0.186119
0.954235 -0.180167
0.934550 -0.172164
0.910234 -0.162517
0.881446 -0.151400
0.848540 -0.138881
0.812011 -0.125087
0.772382 -0.110263
0.730198 -0.094637
0.686012 -0.078520
0.640414 -0.062220
0.593986 -0.046105
0.547273 -0.030617
0.500672 -0.016282
0.454422 -0.003441
0.408763 0.007665
0.363943 0.016907
0.320186 0.024231
0.277728 0.029692
0.236941 0.033475
0.198260 0.035676
0.162100 0.036378
0.128850 0.035649
0.098835 0.033589
0.072359 0.030290
0.049682 0.025886
0.031013 0.020560
0.016515 0.014526
0.006314 0.008114
0.000622 0.001835
0.000555 -0.003908
0.006442 -0.009779
0.017679 -0.016170
0.034187 -0.022802
0.055870 -0.029594
0.082562 -0.036504
0.114049 -0.043531
0.150060 -0.050664
0.190217 -0.057950
0.234090 -0.065408
0.281206 -0.073059
0.330992 -0.080913
0.382856 -0.088977
0.436179 -0.097243
0.490295 -0.105674
0.544509 -0.114226
0.598143 -0.122828
0.650522 -0.131389
0.700989 -0.139824
0.748908 -0.148008
0.793668 -0.155832
0.834702 -0.163167
0.871476 -0.169887
0.903534 -0.175813
0.930543 -0.180777
0.952271 -0.184767
0.968342 -0.187880
0.978267 -0.190013
