E193  (10.22%)               
0.992546 0.121869
0.989119 0.121962
0.979117 0.122437
0.963206 0.123526
0.942011 0.125054
0.915904 0.126715
0.885090 0.128392
0.849926 0.130130
0.810923 0.131960
0.768652 0.133813
0.723704 0.135638
0.676700 0.137312
0.628297 0.138724
0.579161 0.139703
0.529949 0.139998
0.481199 0.139231
0.433245 0.137152
0.386388 0.133605
0.340905 0.128544
0.297027 0.121988
0.254960 0.114062
0.215000 0.105055
0.177532 0.095195
0.142924 0.084689
0.111527 0.073721
0.083618 0.062486
0.059457 0.051167
0.039251 0.039971
0.023142 0.029137
0.011218 0.018918
0.003498 0.009668
0.000024 0.001937
0.001735 -0.003545
0.009149 -0.007310
0.021811 -0.009916
0.039560 -0.011122
0.062280 -0.010881
0.089801 -0.009205
0.121919 -0.006158
0.158371 -0.001813
0.198815 0.003667
0.242845 0.010131
0.290019 0.017414
0.339796 0.025330
0.391614 0.033687
0.444881 0.042303
0.498953 0.051007
0.553156 0.059627
0.606824 0.068020
0.659284 0.076064
0.709889 0.083637
0.757991 0.090662
0.802978 0.097052
0.844270 0.102757
0.881320 0.107729
0.913641 0.112000
0.940862 0.115624
0.962759 0.118544
0.979006 0.120549
0.989105 0.121588
