E193  (10.22%)               
0.984808 0.173648
0.981381 0.173562
0.971367 0.173512
0.955421 0.173767
0.934175 0.174184
0.908017 0.174476
0.877158 0.174538
0.841951 0.174433
0.802905 0.174220
0.760595 0.173857
0.715614 0.173328
0.668586 0.172540
0.620176 0.171417
0.571056 0.169823
0.521895 0.167542
0.473253 0.164224
0.425473 0.159638
0.378866 0.153644
0.333711 0.146210
0.290236 0.137366
0.248641 0.127249
0.209207 0.116163
0.172306 0.104356
0.138296 0.092053
0.107516 0.079457
0.080233 0.066777
0.056698 0.054209
0.037106 0.041971
0.021585 0.030309
0.010213 0.019479
0.002987 0.009838
-0.000077 0.001936
0.001918 -0.003449
0.009519 -0.006821
0.022300 -0.008761
0.040088 -0.009036
0.062764 -0.007607
0.090160 -0.004492
0.122074 0.000232
0.158249 0.006478
0.198351 0.014067
0.241982 0.022827
0.288711 0.032569
0.338005 0.043078
0.389314 0.054136
0.442057 0.065528
0.495600 0.077051
0.549278 0.088496
0.602432 0.099686
0.654400 0.110464
0.704539 0.120675
0.752207 0.130208
0.796798 0.138943
0.837735 0.146801
0.874474 0.153706
0.906527 0.159662
0.933521 0.164707
0.955236 0.168769
0.971355 0.171621
0.981386 0.173187
