   MB253515 15.0% smoothed
0.994522 0.104528
0.943717 0.109566
0.892945 0.114294
0.842153 0.119202
0.791354 0.124189
0.740566 0.129067
0.689812 0.133617
0.639117 0.137610
0.588509 0.140777
0.538016 0.142841
0.487672 0.143502
0.437498 0.142532
0.412482 0.141371
0.387516 0.139742
0.362599 0.137636
0.337730 0.135082
0.312905 0.132111
0.288125 0.128702
0.263396 0.124816
0.238728 0.120343
0.214139 0.115124
0.189642 0.109030
0.165250 0.101932
0.140979 0.093690
0.116846 0.084135
0.092871 0.073068
0.080951 0.066898
0.069076 0.060291
0.057249 0.053236
0.045470 0.045723
0.033748 0.037664
0.022108 0.028829
0.008355 0.016172
0.000043 -0.000408
0.011224 -0.011118
0.026754 -0.015378
0.039551 -0.017552
0.052299 -0.019249
0.065021 -0.020707
0.077726 -0.022006
0.090414 -0.023136
0.103081 -0.024077
0.128351 -0.025332
0.153542 -0.025842
0.178667 -0.025715
0.203736 -0.025061
0.228760 -0.023979
0.253744 -0.022520
0.278693 -0.020722
0.303610 -0.018626
0.328500 -0.016271
0.353366 -0.013678
0.378209 -0.010876
0.403032 -0.007885
0.427837 -0.004715
0.452621 -0.001356
0.502132 0.005920
0.551569 0.013901
0.600932 0.022578
0.650232 0.031862
0.699478 0.041654
0.748681 0.051853
0.797859 0.062300
0.847022 0.072877
0.896188 0.083434
0.945364 0.093892
