E193  (10.22%)               
0.978148 -0.207912
0.974938 -0.206708
0.965635 -0.203003
0.950945 -0.196793
0.931403 -0.188448
0.907259 -0.178378
0.878670 -0.166760
0.845987 -0.153669
0.809704 -0.139240
0.770340 -0.123726
0.728435 -0.107366
0.684537 -0.090480
0.639231 -0.073387
0.593091 -0.056464
0.546655 -0.040164
0.500312 -0.025017
0.454293 -0.011371
0.408834 0.000530
0.364182 0.010553
0.320560 0.018639
0.278204 0.024841
0.237489 0.029334
0.198852 0.032210
0.162710 0.033544
0.129452 0.033395
0.099406 0.031859
0.072877 0.029022
0.050126 0.025015
0.031367 0.020016
0.016766 0.014235
0.006455 0.008003
0.000654 0.001824
0.000486 -0.003917
0.006271 -0.009890
0.017394 -0.016477
0.033784 -0.023395
0.055345 -0.030565
0.081912 -0.037940
0.113272 -0.045515
0.149153 -0.053275
0.189177 -0.061261
0.232913 -0.069484
0.279888 -0.077956
0.329530 -0.086677
0.381245 -0.095645
0.434415 -0.104841
0.488376 -0.114215
0.542432 -0.123711
0.595908 -0.133248
0.648130 -0.142723
0.698442 -0.152037
0.746211 -0.161055
0.790827 -0.169660
0.831727 -0.177709
0.868378 -0.185070
0.900328 -0.191555
0.927246 -0.196990
0.948901 -0.201358
0.964915 -0.204752
0.974802 -0.207057
