E193  (10.22%)               
0.992546 -0.121869
0.989244 -0.120950
0.979653 -0.118070
0.964478 -0.113164
0.944283 -0.106553
0.919353 -0.098626
0.889860 -0.089544
0.856161 -0.079351
0.818759 -0.068139
0.778192 -0.056116
0.735021 -0.043471
0.689818 -0.030475
0.643194 -0.017395
0.595755 -0.004558
0.548076 0.007633
0.500588 0.018683
0.453556 0.028266
0.407232 0.036160
0.361877 0.042253
0.317716 0.046507
0.274980 0.048994
0.234028 0.049921
0.195288 0.049419
0.159167 0.047597
0.126049 0.044551
0.096251 0.040401
0.070070 0.035263
0.047755 0.029288
0.029503 0.022673
0.015462 0.015642
0.005733 0.008535
0.000492 0.001874
0.000826 -0.003859
0.007109 -0.009306
0.018764 -0.014898
0.035695 -0.020362
0.057798 -0.025625
0.084907 -0.030656
0.116808 -0.035470
0.153229 -0.040073
0.193796 -0.044540
0.238083 -0.048920
0.285618 -0.053265
0.335830 -0.057627
0.388131 -0.062054
0.441900 -0.066580
0.496472 -0.071216
0.551150 -0.075965
0.605254 -0.080804
0.658102 -0.085691
0.709036 -0.090585
0.757409 -0.095406
0.802605 -0.100089
0.844051 -0.104543
0.881203 -0.108682
0.913597 -0.112357
0.940886 -0.115426
0.962840 -0.117889
0.979089 -0.119874
0.989139 -0.121310
