E193  (10.22%)               
0.990268 0.139173
0.986840 0.139206
0.976831 0.139506
0.960903 0.140317
0.939685 0.141476
0.913553 0.142681
0.882715 0.143820
0.847526 0.144943
0.808496 0.146093
0.766199 0.147207
0.721227 0.148248
0.674200 0.149102
0.625780 0.149668
0.576635 0.149790
0.527425 0.149226
0.478696 0.147608
0.430785 0.144692
0.383997 0.140328
0.338610 0.134474
0.294853 0.127153
0.252930 0.118494
0.213133 0.108791
0.175843 0.098279
0.141424 0.087171
0.110223 0.075656
0.082515 0.063936
0.058555 0.052197
0.038548 0.040650
0.022629 0.029537
0.010886 0.019111
0.003329 0.009728
-0.000010 0.001937
0.001797 -0.003514
0.009275 -0.007149
0.021981 -0.009534
0.039748 -0.010430
0.062461 -0.009792
0.089948 -0.007636
0.122008 -0.004029
0.158379 0.000951
0.198721 0.007136
0.242632 0.014368
0.289671 0.022473
0.339302 0.031256
0.390966 0.040516
0.444075 0.050060
0.497987 0.059707
0.552032 0.069272
0.605544 0.078600
0.657856 0.087558
0.708321 0.096014
0.756293 0.103877
0.801162 0.111051
0.842348 0.117475
0.879306 0.123094
0.911547 0.127928
0.938701 0.132027
0.960544 0.135329
0.976753 0.137617
0.986832 0.138832
