SD2030-086-88
0.996195 -0.087156
0.992900 -0.086376
0.983289 -0.083899
0.968028 -0.079572
0.947783 -0.073585
0.923082 -0.066324
0.894257 -0.058241
0.861473 -0.049631
0.825024 -0.040560
0.785394 -0.031150
0.743131 -0.021651
0.698670 -0.012380
0.652359 -0.003591
0.604588 0.004564
0.555750 0.011989
0.506280 0.018626
0.456688 0.024440
0.407471 0.029378
0.359160 0.033424
0.312252 0.036524
0.267265 0.038643
0.224659 0.039741
0.184862 0.039800
0.148265 0.038795
0.115220 0.036738
0.085989 0.033634
0.060788 0.029564
0.039820 0.024653
0.023245 0.019006
0.011107 0.012791
0.003372 0.006300
0.000015 0.000169
0.002044 -0.005208
0.009854 -0.010248
0.022960 -0.015119
0.041401 -0.019693
0.065081 -0.024054
0.093735 -0.028247
0.127076 -0.032328
0.164731 -0.036325
0.206236 -0.040258
0.251120 -0.044124
0.298870 -0.047931
0.348905 -0.051666
0.400664 -0.055311
0.453528 -0.058831
0.506886 -0.062215
0.560111 -0.065406
0.612583 -0.068360
0.663720 -0.070977
0.713035 -0.073184
0.760085 -0.075011
0.804408 -0.076560
0.845482 -0.077965
0.882764 -0.079340
0.915694 -0.080775
0.943696 -0.082322
0.966211 -0.083940
0.982719 -0.085485
0.992812 -0.086689
