E193  (10.22%)               
0.997564 0.069756
0.994147 0.070029
0.984183 0.071026
0.968350 0.072946
0.947265 0.075582
0.921281 0.078607
0.890597 0.081894
0.855572 0.085470
0.816718 0.089339
0.774602 0.093401
0.729811 0.097577
0.682959 0.101709
0.634696 0.105652
0.585679 0.109201
0.536549 0.112071
0.487826 0.113856
0.439829 0.114289
0.392851 0.113200
0.347166 0.110526
0.303005 0.106275
0.260580 0.100562
0.220203 0.093659
0.182271 0.085774
0.147161 0.077093
0.115232 0.067783
0.086774 0.058024
0.062054 0.047986
0.041289 0.037862
0.024635 0.027886
0.012193 0.018305
0.003999 0.009472
0.000125 0.001933
0.001547 -0.003631
0.008754 -0.007778
0.021262 -0.011044
0.038924 -0.013177
0.061625 -0.014126
0.089196 -0.013892
0.121430 -0.012530
0.158059 -0.010099
0.198735 -0.006743
0.243043 -0.002593
0.290533 0.002212
0.340656 0.007511
0.392840 0.013145
0.446485 0.018961
0.500939 0.024824
0.555519 0.030596
0.609552 0.036168
0.662362 0.041455
0.713293 0.046370
0.761697 0.050867
0.806956 0.054894
0.848491 0.058430
0.885751 0.061457
0.918250 0.064030
0.945624 0.066225
0.967644 0.067995
0.983973 0.069147
0.994113 0.069655
