E193  (10.22%)               
0.994522 0.104528
0.991097 0.104681
0.981105 0.105330
0.965215 0.106697
0.944050 0.108595
0.917976 0.110711
0.887196 0.112926
0.852068 0.115277
0.813102 0.117788
0.770870 0.120377
0.725961 0.122987
0.678993 0.125482
0.630622 0.127738
0.581511 0.129574
0.532311 0.130728
0.483555 0.130812
0.435572 0.129570
0.388661 0.126841
0.343097 0.122575
0.299111 0.116785
0.256912 0.109595
0.216800 0.101287
0.179166 0.092082
0.144381 0.082182
0.112797 0.071764
0.084696 0.061017
0.060341 0.050122
0.039943 0.039280
0.023647 0.028729
0.011547 0.018719
0.003666 0.009606
0.000058 0.001937
0.001673 -0.003575
0.009020 -0.007468
0.021635 -0.010295
0.039360 -0.011810
0.062081 -0.011966
0.089627 -0.010770
0.121793 -0.008285
0.158316 -0.004577
0.198849 0.000196
0.242985 0.005891
0.290279 0.012350
0.340186 0.019395
0.392142 0.026847
0.445551 0.034532
0.499767 0.042292
0.554113 0.049964
0.607918 0.057419
0.660511 0.064546
0.711240 0.071235
0.759458 0.077419
0.804549 0.083023
0.845935 0.088006
0.883066 0.092331
0.915456 0.096037
0.942737 0.099186
0.964682 0.101724
0.980961 0.103445
0.991076 0.104307
