E193  (10.22%)               
0.990268 -0.139173
0.986982 -0.138196
0.977443 -0.135149
0.962356 -0.129979
0.942280 -0.123017
0.917492 -0.114656
0.888162 -0.105061
0.854646 -0.094281
0.817445 -0.082418
0.777094 -0.069689
0.734150 -0.056292
0.689181 -0.042509
0.642793 -0.028618
0.595585 -0.014955
0.548125 -0.001933
0.500838 0.009944
0.453980 0.020346
0.407801 0.029048
0.362559 0.035931
0.318479 0.040955
0.275794 0.044187
0.234864 0.045829
0.196121 0.046003
0.159973 0.044812
0.126807 0.042344
0.096942 0.038715
0.070675 0.034035
0.048259 0.028450
0.029894 0.022155
0.015732 0.015370
0.005881 0.008434
0.000525 0.001865
0.000758 -0.003873
0.006945 -0.009428
0.018501 -0.015223
0.035334 -0.020982
0.057342 -0.026630
0.084359 -0.032133
0.116171 -0.037503
0.152506 -0.042741
0.192990 -0.047915
0.237193 -0.053067
0.284644 -0.058242
0.334773 -0.063479
0.386989 -0.068818
0.440670 -0.074282
0.495153 -0.079869
0.549741 -0.085572
0.603752 -0.091355
0.656507 -0.097164
0.707347 -0.102945
0.755628 -0.108610
0.800736 -0.114081
0.842098 -0.119258
0.879172 -0.124044
0.911497 -0.128284
0.938729 -0.131829
0.960636 -0.134675
0.976848 -0.136944
0.986871 -0.138554
