E193  (10.22%)               
0.999848 0.017452
0.996449 0.017903
0.986551 0.019421
0.970841 0.022167
0.949923 0.025902
0.924132 0.030283
0.893662 0.035172
0.858873 0.040576
0.820274 0.046473
0.778428 0.052733
0.733918 0.059248
0.687346 0.065826
0.639356 0.072289
0.590592 0.078399
0.541679 0.083836
0.493116 0.088169
0.445208 0.091114
0.398237 0.092484
0.352474 0.092206
0.308151 0.090272
0.265486 0.086787
0.224803 0.082006
0.186510 0.076117
0.150994 0.069286
0.118622 0.061660
0.089692 0.053403
0.064480 0.044672
0.043214 0.035650
0.026060 0.026559
0.013134 0.017642
0.004489 0.009250
0.000226 0.001924
0.001355 -0.003707
0.008335 -0.008226
0.020655 -0.012141
0.038181 -0.015196
0.060802 -0.017332
0.088347 -0.018541
0.120608 -0.018868
0.157314 -0.018357
0.198109 -0.017135
0.242574 -0.015309
0.290251 -0.012996
0.340582 -0.010328
0.392990 -0.007433
0.446865 -0.004432
0.501551 -0.001427
0.556359 0.001480
0.610609 0.004217
0.663624 0.006733
0.714742 0.008975
0.763315 0.010933
0.808724 0.012586
0.850386 0.013943
0.887753 0.015016
0.920343 0.015885
0.947794 0.016644
0.969877 0.017259
0.986244 0.017555
0.996396 0.017532
