E193  (10.22%)               
0.996195 -0.087156
0.992862 -0.086352
0.983177 -0.083808
0.967840 -0.079435
0.947426 -0.073533
0.922235 -0.066481
0.892443 -0.058434
0.858409 -0.049423
0.820638 -0.039524
0.779676 -0.028923
0.736090 -0.017792
0.690461 -0.006382
0.643410 0.005062
0.595551 0.016236
0.547475 0.026756
0.499631 0.036142
0.452293 0.044078
0.405722 0.050351
0.360182 0.054857
0.315899 0.057567
0.273103 0.058560
0.232143 0.058058
0.193445 0.056204
0.157409 0.053123
0.124417 0.048922
0.094782 0.043736
0.068796 0.037687
0.046704 0.030937
0.028694 0.023689
0.014906 0.016172
0.005432 0.008730
0.000426 0.001890
0.000960 -0.003828
0.007429 -0.009052
0.019273 -0.014234
0.036383 -0.019104
0.058657 -0.023592
0.085925 -0.027674
0.117975 -0.031372
0.154534 -0.034701
0.195233 -0.037749
0.239645 -0.040581
0.287303 -0.043265
0.337637 -0.045872
0.390060 -0.048470
0.443954 -0.051118
0.498655 -0.053846
0.553466 -0.056683
0.607705 -0.059632
0.660692 -0.062672
0.711765 -0.065785
0.760277 -0.068915
0.805609 -0.072017
0.847185 -0.075023
0.884460 -0.077862
0.916962 -0.080404
0.944342 -0.082519
0.966368 -0.084215
0.982676 -0.085632
0.992770 -0.086716
