E193  (10.22%)               
0.994522 -0.104528
0.991204 -0.103667
0.981564 -0.100954
0.966306 -0.096314
0.945999 -0.090057
0.920934 -0.082566
0.891287 -0.074000
0.857416 -0.064397
0.819823 -0.053840
0.779053 -0.042526
0.735668 -0.030636
0.690245 -0.018431
0.643400 -0.006167
0.595744 0.005840
0.547859 0.017197
0.500186 0.027417
0.452993 0.036178
0.406539 0.043262
0.361084 0.048562
0.316856 0.052045
0.274084 0.053785
0.233121 0.053998
0.194396 0.052819
0.158312 0.050368
0.125252 0.046744
0.095531 0.042075
0.069444 0.036481
0.047237 0.030117
0.029103 0.023185
0.015186 0.015910
0.005583 0.008634
0.000459 0.001882
0.000893 -0.003844
0.007270 -0.009180
0.019021 -0.014568
0.036045 -0.019736
0.058236 -0.024612
0.085429 -0.029170
0.117409 -0.033426
0.153905 -0.037392
0.194544 -0.041151
0.238900 -0.044757
0.286504 -0.048272
0.336785 -0.051757
0.389154 -0.055270
0.442994 -0.058858
0.497639 -0.062540
0.552392 -0.066334
0.606572 -0.070229
0.659498 -0.074193
0.710508 -0.078197
0.758958 -0.082173
0.804229 -0.086066
0.845747 -0.089797
0.882966 -0.093286
0.915419 -0.096395
0.942758 -0.098987
0.964751 -0.101068
0.981032 -0.102769
0.991105 -0.104029
