   MB253515 15.0% smoothed
0.970296 -0.241922
0.924278 -0.219812
0.878184 -0.198004
0.832135 -0.176020
0.786105 -0.153959
0.740048 -0.132005
0.693911 -0.110371
0.647639 -0.089280
0.601166 -0.068995
0.554424 -0.049786
0.507342 -0.031946
0.459862 -0.015697
0.435958 -0.008232
0.411940 -0.001224
0.387806 0.005319
0.363563 0.011425
0.339219 0.017124
0.314768 0.022396
0.290201 0.027202
0.265491 0.031436
0.240600 0.034942
0.215496 0.037594
0.190147 0.039266
0.164521 0.039822
0.138575 0.039097
0.112261 0.036898
0.098949 0.035177
0.085531 0.033029
0.072004 0.030445
0.058366 0.027414
0.044594 0.023850
0.030634 0.019529
0.013383 0.012339
-0.000099 -0.000398
0.006744 -0.014286
0.019881 -0.023601
0.031163 -0.030021
0.042561 -0.035975
0.054017 -0.041697
0.065512 -0.047263
0.077048 -0.052664
0.088630 -0.057881
0.111946 -0.067703
0.135444 -0.076798
0.159097 -0.085272
0.182878 -0.093231
0.206762 -0.100774
0.230739 -0.107947
0.254798 -0.114791
0.278930 -0.121344
0.303124 -0.127644
0.327377 -0.133711
0.351680 -0.139575
0.376029 -0.145254
0.400422 -0.150759
0.424861 -0.156079
0.473874 -0.166177
0.523059 -0.175585
0.572413 -0.184314
0.621915 -0.192452
0.671541 -0.200094
0.721265 -0.207339
0.771050 -0.214341
0.820866 -0.221217
0.870678 -0.228112
0.920465 -0.235104
