E193  (10.22%)               
0.997564 -0.069756
0.994218 -0.069011
0.984490 -0.066637
0.969079 -0.062532
0.948565 -0.056987
0.923255 -0.050376
0.893327 -0.042850
0.859141 -0.034435
0.821203 -0.025196
0.780062 -0.015312
0.736289 -0.004943
0.690467 0.005669
0.643223 0.016291
0.595177 0.026627
0.546925 0.036307
0.498924 0.044856
0.451455 0.051965
0.404782 0.057424
0.359169 0.061135
0.314847 0.063071
0.272039 0.063318
0.231095 0.062101
0.192434 0.059572
0.156458 0.055862
0.123545 0.051086
0.094005 0.045383
0.068128 0.038882
0.046157 0.031748
0.028276 0.024186
0.014622 0.016430
0.005278 0.008823
0.000393 0.001897
0.001027 -0.003811
0.007586 -0.008921
0.019518 -0.013895
0.036711 -0.018466
0.059060 -0.022565
0.086395 -0.026170
0.118504 -0.029308
0.155116 -0.031998
0.195862 -0.034336
0.240317 -0.036392
0.288014 -0.038244
0.338386 -0.039972
0.390846 -0.041656
0.444779 -0.043362
0.499518 -0.045135
0.554371 -0.047015
0.608653 -0.049017
0.661685 -0.051131
0.712805 -0.053353
0.761364 -0.055636
0.806743 -0.057947
0.848365 -0.060226
0.885684 -0.062414
0.918225 -0.064389
0.945638 -0.066025
0.967690 -0.067337
0.984021 -0.068469
0.994132 -0.069376
