NACA 0008
0.866445 -0.499273
0.825409 -0.470349
0.784248 -0.441643
0.701565 -0.384853
0.618433 -0.328843
0.534830 -0.273647
0.450658 -0.219438
0.365755 -0.166493
0.279813 -0.115350
0.236311 -0.090697
0.192330 -0.066875
0.147724 -0.044135
0.102208 -0.022971
0.078952 -0.013251
0.055146 -0.004484
0.030366 0.002595
0.017140 0.004688
0.000000 0.000000
0.004510 -0.017188
0.012936 -0.027595
0.031456 -0.045516
0.050952 -0.061749
0.070998 -0.077029
0.112084 -0.105865
0.154080 -0.133125
0.196701 -0.159303
0.239803 -0.184650
0.327065 -0.233507
0.415368 -0.280562
0.504400 -0.326353
0.594003 -0.371157
0.684075 -0.415147
0.774598 -0.458357
0.820039 -0.479651
0.865605 -0.500727
