E193  (10.22%)               
0.998630 0.052336
0.995217 0.052668
0.985273 0.053839
0.969476 0.056035
0.948440 0.059038
0.922512 0.062516
0.891890 0.066339
0.856933 0.070525
0.818152 0.075072
0.776114 0.079868
0.731403 0.084825
0.684630 0.089774
0.636443 0.094558
0.587496 0.098963
0.538424 0.102690
0.489739 0.105325
0.441757 0.106596
0.394766 0.106326
0.349042 0.104451
0.304813 0.100971
0.262295 0.095999
0.221804 0.089801
0.183740 0.082579
0.148484 0.074513
0.116398 0.065762
0.087773 0.056501
0.062882 0.046895
0.041944 0.037136
0.025118 0.027452
0.012510 0.018090
0.004164 0.009401
0.000159 0.001931
0.001483 -0.003657
0.008617 -0.007930
0.021066 -0.011413
0.038688 -0.013854
0.061370 -0.015199
0.088940 -0.015446
0.121193 -0.014647
0.157859 -0.012856
0.198587 -0.010211
0.242961 -0.006834
0.290528 -0.002859
0.340735 0.001565
0.393010 0.006287
0.446748 0.011166
0.501296 0.016078
0.555968 0.020896
0.610090 0.025525
0.662984 0.029889
0.713994 0.033914
0.762469 0.037566
0.807792 0.040802
0.849382 0.043613
0.886688 0.045989
0.919228 0.047994
0.946636 0.049711
0.968683 0.051097
0.985030 0.051964
0.995177 0.052295
