SD2030-086-88
0.998630 0.052336
0.995258 0.052650
0.985397 0.053765
0.969682 0.055926
0.948801 0.059037
0.923329 0.062789
0.893660 0.066782
0.859996 0.070746
0.822640 0.074656
0.782086 0.078459
0.738912 0.081984
0.693593 0.084976
0.646510 0.087235
0.598069 0.088662
0.548673 0.089218
0.498761 0.088905
0.448842 0.087761
0.399417 0.085801
0.351013 0.083084
0.304129 0.079626
0.259286 0.075463
0.216941 0.070621
0.177524 0.065140
0.141423 0.059052
0.108986 0.052416
0.080471 0.045274
0.056082 0.037737
0.036002 0.029955
0.020374 0.022056
0.009219 0.014212
0.002462 0.006708
-0.000009 0.000170
0.002749 -0.004873
0.011185 -0.008777
0.024840 -0.011776
0.043739 -0.013740
0.067795 -0.014762
0.096754 -0.014927
0.130339 -0.014328
0.168183 -0.013046
0.209832 -0.011164
0.254817 -0.008746
0.302632 -0.005870
0.352700 -0.002605
0.404463 0.000989
0.457302 0.004860
0.510612 0.008936
0.563763 0.013183
0.616135 0.017560
0.667138 0.022086
0.716281 0.026764
0.763127 0.031502
0.807235 0.036137
0.848105 0.040462
0.885215 0.044289
0.918025 0.047451
0.945969 0.049816
0.968490 0.051347
0.985052 0.052115
0.995215 0.052327
