  S4180-098-84
0.999848 0.017452
0.996682 0.017757
0.987282 0.018793
0.971866 0.020725
0.950793 0.023617
0.924482 0.027459
0.893414 0.032207
0.858081 0.037771
0.819057 0.044011
0.776913 0.050747
0.732234 0.057758
0.685574 0.064775
0.637438 0.071546
0.588340 0.077890
0.538803 0.083616
0.489350 0.088514
0.440484 0.092412
0.392659 0.095147
0.346338 0.096549
0.301903 0.096454
0.259637 0.094716
0.219699 0.091358
0.182338 0.086485
0.147771 0.080291
0.116304 0.072991
0.088223 0.064770
0.063786 0.055802
0.043179 0.046291
0.026618 0.036430
0.014203 0.026302
0.005789 0.016163
0.001178 0.006452
0.000195 -0.001997
0.003911 -0.008073
0.013273 -0.012110
0.028052 -0.014743
0.048194 -0.015851
0.073792 -0.015515
0.104791 -0.014013
0.140886 -0.011703
0.181582 -0.008842
0.226372 -0.005610
0.274680 -0.002167
0.325886 0.001368
0.379343 0.004851
0.434383 0.008192
0.490307 0.011299
0.546427 0.014099
0.602013 0.016529
0.656386 0.018548
0.708847 0.020124
0.758735 0.021255
0.805390 0.021929
0.848232 0.022167
0.886691 0.021998
0.920245 0.021474
0.948424 0.020625
0.970746 0.019575
0.986867 0.018536
0.996602 0.017746
