E193  (10.22%)               
0.999848 -0.017452
0.996467 -0.016883
0.986628 -0.015021
0.971023 -0.011728
0.950248 -0.007265
0.924626 -0.001987
0.894345 0.003962
0.859766 0.010577
0.821396 0.017817
0.779794 0.025535
0.735538 0.033598
0.689224 0.041798
0.641489 0.049932
0.592968 0.057740
0.544275 0.064881
0.495893 0.070906
0.448116 0.075521
0.401222 0.078530
0.355478 0.079848
0.311114 0.079462
0.268353 0.077468
0.227528 0.074110
0.189053 0.069561
0.153320 0.063974
0.120702 0.057482
0.091501 0.050241
0.066000 0.042395
0.044432 0.034120
0.026971 0.025633
0.013742 0.017173
0.004809 0.009087
0.000293 0.001915
0.001225 -0.003752
0.008043 -0.008512
0.020219 -0.012855
0.037627 -0.016519
0.060160 -0.019443
0.087646 -0.021613
0.119876 -0.023066
0.156578 -0.023836
0.197391 -0.024039
0.241892 -0.023765
0.289621 -0.023118
0.340014 -0.022207
0.392491 -0.021143
0.446439 -0.020024
0.501196 -0.018930
0.556072 -0.017938
0.610385 -0.017095
0.663454 -0.016431
0.714620 -0.015974
0.763232 -0.015713
0.808670 -0.015646
0.850355 -0.015743
0.887736 -0.015976
0.920337 -0.016245
0.947797 -0.016444
0.969888 -0.016599
0.986256 -0.016875
0.996401 -0.017252
