E193  (10.22%)               
0.998630 -0.052336
0.995271 -0.051649
0.985503 -0.049445
0.970022 -0.045610
0.949416 -0.040424
0.923994 -0.034255
0.893939 -0.027252
0.859611 -0.019435
0.821518 -0.010860
0.780211 -0.001695
0.736263 0.007908
0.690263 0.017719
0.642841 0.027514
0.594622 0.037011
0.546208 0.045847
0.498066 0.053557
0.450479 0.059836
0.403718 0.064479
0.358048 0.067394
0.313698 0.068556
0.270893 0.068056
0.229976 0.066125
0.191365 0.062921
0.155459 0.058584
0.122634 0.053235
0.093198 0.047017
0.067439 0.040065
0.045596 0.032548
0.027850 0.024676
0.014333 0.016683
0.005124 0.008914
0.000360 0.001904
0.001093 -0.003792
0.007741 -0.008787
0.019758 -0.013553
0.037028 -0.017822
0.059445 -0.021531
0.086838 -0.024659
0.118998 -0.027235
0.155651 -0.029286
0.196431 -0.030913
0.240915 -0.032193
0.288637 -0.033212
0.339032 -0.034060
0.391514 -0.034828
0.445468 -0.035593
0.500230 -0.036410
0.555107 -0.037333
0.609416 -0.038387
0.662477 -0.039576
0.713627 -0.040904
0.762219 -0.042339
0.807631 -0.043858
0.849287 -0.045410
0.886638 -0.046947
0.919209 -0.048354
0.946646 -0.049511
0.968718 -0.050438
0.985066 -0.051285
0.995192 -0.052016
